texture,Wpwp_FRACT,porosity,Ksat,expt,quartz,Wcr_FRACT
sand,0.03,0.43,9218.4,4.1,0.95,0.055999999999999994
loamy sand,0.06,0.42,2608.7999999999997,3.99,0.85,0.105
sandy loam,0.09,0.4,1257.6000000000001,4.84,0.69,0.147
loam,0.12,0.46,950.4,3.79,0.19,0.22399999999999998
silt loam,0.08,0.52,2061.6,3.05,0.05,0.196
silt,0.14,0.43,472.8,5.3,0.41,0.20299999999999999
sandy clay loam,0.17,0.39,576.0,8.66,0.61,0.189
clay loam,0.21,0.48,1096.8000000000002,7.48,0.09,0.252
silty clay loam,0.21,0.46,424.8,8.02,0.25,0.238
sandy clay,0.23,0.41,285.59999999999997,13.0,0.5,0.217
silty clay,0.25,0.49,708.0,9.76,0.08,0.259
clay,0.27,0.47,763.2,12.28,0.25,0.252
